2016-07-16  01:33:13         runas.exe.x86              10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:33:44         mscoree.dll.x86            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:40:00         cmd.exe.x86                10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:40:15         rundll32.exe.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:43:28         secur32.dll.x86            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:43:58         wsock32.dll.x86            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:45:27         msvcrt40.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:56:06.243000  wtsapi32.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:57:07.786000  netapi32.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:57:22.354000  svchost.exe.x86            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  01:57:30.291000  crypt32.dll.x86            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:01:51.863000  advapi32.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:04:32.448000  kernel.appcore.dll.x86     10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:04:40.751000  kernel32.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:05:12.176000  logoncli.dll.x86           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:06:17.491000  msvcrt.dll.x86             7.0.14393.0      (rs1_release.160715-1616)
2016-07-16  02:10:38         msvcirt.dll.x86_64         7.0.14393.0      (rs1_release.160715-1616)
2016-07-16  02:13:25         rasapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:18:31         rundll32.exe.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:19:52         runas.exe.x86_64           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:20:21         mscoree.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:23:17         user32.dll.x86_64          10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:23:21         cmd.exe.x86_64             10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:24:17         gdi32.dll.x86_64           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:24:50         advapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:25:55         shell32.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:26:06         ole32.dll.x86_64           10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:26:09         wtsapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:26:31         wsock32.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:26:57         secur32.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:27:13         secur32.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:28:21         kernel32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:28:22         sspisrv.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:52:27.618000  smss.exe.x86_64            10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:52:27.666000  iumdll.dll.x86_64          10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:52:28.961000  services.exe.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:55:39.613000  wtsapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:56:57.817000  netapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:57:02.958000  wininit.exe.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:57:10.141000  svchost.exe.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:57:10.283000  kernel32legacy.dll.x86_64  10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  02:57:21.274000  crypt32.dll.x86_64         10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:00:51.220000  advapi32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:00:54.137000  advapi32legacy.dll.x86_64  10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:02:47.505000  kernel.appcore.dll.x86_64  10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:04:06.497000  logoncli.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:04:11.735000  kernel32.dll.x86_64        10.0.14393.0     (rs1_release.160715-1616)
2016-07-16  03:05:01.295000  msvcrt.dll.x86_64          7.0.14393.0      (rs1_release.160715-1616)
2016-07-22  01:11:55.507000  user32.dll.x86             10.0.14393.5     (rs1_release_inmarket.160721-1505)
2016-07-22  01:18:09.919000  user32.dll.x86_64          10.0.14393.5     (rs1_release_inmarket.160721-1505)
2016-08-02  04:36:08         win32k.sys.x86             10.0.14393.51    (rs1_release_inmarket.160801-1836)
2016-08-02  04:47:19.434000  win32u.dll.x86             10.0.14393.51    (rs1_release_inmarket.160801-1836)
2016-08-02  08:20:24         win32k.sys.x86_64          10.0.14393.51    (rs1_release_inmarket.160801-1836)
2016-08-02  08:44:20.801000  win32u.dll.x86_64          10.0.14393.51    (rs1_release_inmarket.160801-1836)
2016-08-24  10:07:01         powershell.exe.x86_64      10.0.14393.1000  (rs1_release_d_srv_dev.160823-2113)
2016-09-07  05:13:02.799000  ole32.dll.x86              10.0.14393.187   (rs1_release_inmarket.160906-1818)
2016-09-07  05:29:27.071000  ole32.dll.x86_64           10.0.14393.187   (rs1_release_inmarket.160906-1818)
2016-09-07  05:30:41.065000  oleaut32.dll.x86           10.0.14393.187
2016-09-07  05:41:42.135000  sspicli.dll.x86_64         10.0.14393.187   (rs1_release_inmarket.160906-1818)
2016-09-07  05:50:33.078000  oleaut32.dll.x86_64        10.0.14393.187
2016-09-15  16:19:36         win32kfull.sys.x86_64      10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  16:31:49         powershell.exe.x86_64      10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  16:38:43         win32kfull.sys.x86         10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  16:43:33         olepro32.dll.x86           10.0.14393.206
2016-09-15  16:50:34         powershell.exe.x86         10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:06:24.403000  securekernel.exe.x86_64    10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:07:32.806000  gdi32full.dll.x86_64       10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:11:33.385000  shell32.dll.x86_64         10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:14:02.834000  gdi32full.dll.x86          10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:14:49.460000  hvax64.exe.x86_64          10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:14:49.654000  hvix64.exe.x86_64          10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:15:21.070000  wintrust.dll.x86_64        10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:16:45.400000  gdi32.dll.x86_64           10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:17:45.539000  shell32.dll.x86            10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:20:01.316000  ci.dll.x86_64              10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:21:39.753000  wintrust.dll.x86           10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:23:17.808000  gdi32.dll.x86              10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:27:58.560000  ntdll.dll.x86_64           10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:28:23.271000  ntkrnlmp.exe.x86_64        10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:28:53.125000  kernelbase.dll.x86_64      10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:29:45.568000  ws2_32.dll.x86_64          10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:35:06.180000  kernelbase.dll.x86         10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:35:21.673000  ntdll.dll.x86              10.0.14393.206   (rs1_release.160915-0644)
2016-09-15  17:37:04.477000  ws2_32.dll.x86             10.0.14393.206   (rs1_release.160915-0644)
2016-10-05  09:06:13         win32kfull.sys.x86         10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  09:15:29         win32kfull.sys.x86_64      10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  09:45:35.308000  shell32.dll.x86            10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  10:03:24.267000  kernelbase.dll.x86         10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  10:08:53.344000  shell32.dll.x86_64         10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  10:30:03.524000  ntkrnlmp.exe.x86_64        10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-05  10:31:26.540000  kernelbase.dll.x86_64      10.0.14393.321   (rs1_release_inmarket.161004-2338)
2016-10-15  04:11:18.770000  user32.dll.x86             10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-10-15  04:18:37.833000  crypt32.dll.x86            10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-10-15  04:19:00.865000  wintrust.dll.x86           10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-10-15  04:22:33.502000  user32.dll.x86_64          10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-10-15  04:30:04.683000  crypt32.dll.x86_64         10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-10-15  04:30:15.140000  wintrust.dll.x86_64        10.0.14393.351   (rs1_release_inmarket.161014-1755)
2016-11-02  10:15:17         win32kfull.sys.x86_64      10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  10:25:48         win32kfull.sys.x86         10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  10:31:24         olepro32.dll.x86           10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  10:33:56         win32k.sys.x86_64          10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  10:49:42         win32k.sys.x86             10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  10:56:41.637000  gdi32full.dll.x86_64       10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:00:05.074000  ole32.dll.x86_64           10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:00:15.150000  shell32.dll.x86_64         10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:01:29.407000  gdi32full.dll.x86          10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:05:07.993000  shell32.dll.x86            10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:05:12.540000  ole32.dll.x86              10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:13:43.301000  oleaut32.dll.x86_64        10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:13:46.665000  ntdll.dll.x86_64           10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:13:58.661000  ntkrnlmp.exe.x86_64        10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:22:57.659000  ntdll.dll.x86              10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-02  11:22:58.750000  oleaut32.dll.x86           10.0.14393.447   (rs1_release_inmarket.161102-0100)
2016-11-11  07:42:46.997000  shell32.dll.x86            10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  07:59:57.969000  ntdll.dll.x86              10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  07:59:59.114000  kernelbase.dll.x86         10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  09:03:09         rasapi32.dll.x86_64        10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  09:51:13.810000  services.exe.x86_64        10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  09:56:56.547000  shell32.dll.x86_64         10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  10:13:02.022000  ntdll.dll.x86_64           10.0.14393.479   (rs1_release.161110-2025)
2016-11-11  10:13:53.084000  kernelbase.dll.x86_64      10.0.14393.479   (rs1_release.161110-2025)
2016-12-09  09:16:51         win32kfull.sys.x86         10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:21:29         win32kfull.sys.x86_64      10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:40:38         win32k.sys.x86             10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:45:43         win32k.sys.x86_64          10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:52:19.795000  gdi32full.dll.x86          10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:52:20.101000  user32.dll.x86             10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  09:56:14.772000  ole32.dll.x86              10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  10:09:26.571000  securekernel.exe.x86_64    10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  10:10:36.449000  gdi32full.dll.x86_64       10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  10:10:57.243000  user32.dll.x86_64          10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  10:14:49.073000  ole32.dll.x86_64           10.0.14393.576   (rs1_release_inmarket.161208-2252)
2016-12-09  10:18:08.744000  hvax64.exe.x86_64          10.0.14393.576   (rs1_release_inmarket.161208-2252)
